choice_response.corr,s_adjust.thisIndex,xResolution,SJ_trials_skip.thisIndex,SJ_trials_after.thisN,cont_0.keys,cont_2.keys,s_adjust.thisN,cont_3.keys,participant,SJ_trials_after.thisIndex,cond,__datetime,SJ_trials_after.ran,choice_response.rt,trials.ran,response_distortion.corr,group,cont_5.rt,key_resp.rt,entity2,psychopyVersion,attribute1,choice_response.keys,cont_6.rt,SJ_trials_before.thisN,imagePath2,exit.rt,SJ_trials_before.thisIndex,key_resp.keys,SJ_trials_between.thisTrialN,SJ_trials_after.thisRepN,s_adjust.ran,training.thisIndex,s_adjust.thisRepN,cont_2.rt,SJ_trials_between.thisN,trials.thisN,SJ_trials_before.thisRepN,__participant,corrAns_synchronicity,training.thisRepN,SJ_trials_before.ran,target_loc,trials.thisTrialN,cont_4.rt,sentence_id,response_sync.rt,videoPath,cont_5.keys,SJ_trials_skip.thisTrialN,globalClockTime,cont_3.rt,response_distortion.keys,SJ_trials_between.thisIndex,id,cont_7.rt,block_counter_choice,SJ_trials_skip.thisN,cont_0.rt,expName,response_sync.keys,echo,trials.thisIndex,date,corrAns_distortion,show_attribute,cont_6.keys,entity1,corrAns_choice,SJ_trials_between.ran,SJ_trials_between.thisRepN,SJ_trials_skip.ran,cont_4.keys,trial_counter_choice,verb,trials.thisRepN,researcher,training.thisN,latency,SJ_trials_after.thisTrialN,training.thisTrialN,cont_7.keys,OS,cont_1.keys,frameRate,yResolution,cont_1.rt,imagePos,s_adjust.thisTrialN,response_sync.corr,item,block_counter_sj,attribute2,browser,trial_counter_sj,imagePath,SJ_trials_skip.thisRepN,__session,corrAns,sentence,response_distortion.rt,__experimentName,fill_attribute,trial_counter_training,exit.keys,training.ran,SJ_trials_before.thisTrialN,Name_optional
﻿1,,1920,,,,,,,37,,0,2021-04-12_14h35.00.200,,2.240000000000009,1,,2,,,ritter,2021.1.2,böse,left,,,images/ritter.png,,,,,,,,,,,51,,37,,,,0,51,,,,choice_videos/0_031.mp4,,,693.983,,,,test,,0,,,av_experiment,,0,51,2021-04-12_14h35.00.200,,,,wikinger,left,,,,,52,streichelt,0,aron,,0,,,,Win32,,60.02400960382895,1080,,1,,,52,,dick,Firefox,,images/wikinger.png,,SESSION,,Der böse Wikinger streichelt den dicken Ritter.,,av_experiment,gut,56,,,,A.J.
﻿1,,1920,,,,,,,37,,2,2021-04-12_14h35.00.200,,2.4809999999999945,1,,2,,,frosch,2021.1.2,arm,left,,,images/frosch.png,,,,,,,,,,,52,,37,,,,0,52,,,,choice_videos/2_033.mp4,,,701.248,,,,test,,0,,,av_experiment,,0,52,2021-04-12_14h35.00.200,,,,pinguin,left,,,,,53,tritt,0,aron,,400,,,,Win32,,60.02400960382895,1080,,1,,,54,,nass,Firefox,,images/pinguin.png,,SESSION,,Der arme Pinguin tritt den nassen Frosch.,,av_experiment,alt,57,,,,A.J.
﻿1,,1920,,,,,,,37,,4,2021-04-12_14h35.00.200,,2.1230000000000473,1,,2,,,panda,2021.1.2,müde,left,,,images/panda.png,,,,,,,,,,,53,,37,,,,0,53,,,,choice_videos/4_010.mp4,,,708.761,,,,test,,0,,,av_experiment,,400,53,2021-04-12_14h35.00.200,,,,drache,left,,,,,54,fesselt,0,aron,,0,,,,Win32,,60.02400960382895,1080,,1,,,16,,groß,Firefox,,images/drache.png,,SESSION,,Der müde Drache fesselt den großen Panda.,,av_experiment,rüde,58,,,,A.J.
﻿0,,1920,,,,,,,37,,2,2021-04-12_14h35.00.200,,1.8010000000000446,1,,2,,,cowboy,2021.1.2,frech,left,,,images/cowboy.png,,,,,,,,,,,54,,37,,,,2,54,,,,choice_videos/2_057.mp4,,,715.9269999999999,,,,test,,0,,,av_experiment,,0,54,2021-04-12_14h35.00.200,,,,kobold,up,,,,,55,jagt,0,aron,,400,,,,Win32,,60.02400960382895,1080,,1,,,154,,rüde,Firefox,,images/kobold.png,,SESSION,,Den frechen Kobold jagt der rüde Cowboy.,,av_experiment,dick,59,,,,A.J.
﻿1,,1920,,,,,,,37,,4,2021-04-12_14h35.00.200,,2.3070000000000164,1,,2,,,maler,2021.1.2,brav,left,,,images/maler.png,,,,,,,,,,,55,,37,,,,0,55,,,,choice_videos/4_039.mp4,,,722.7739999999999,,,,test,,0,,,av_experiment,,400,55,2021-04-12_14h35.00.200,,,,kasper,left,,,,,56,weckt,0,aron,,0,,,,Win32,,60.02400960382895,1080,,1,,,66,,blind,Firefox,,images/kasper.png,,SESSION,,Der brave Kasper weckt den blinden Maler.,,av_experiment,frech,60,,,,A.J.
﻿1,,1920,,,,,,,37,,1,2021-04-12_14h35.00.200,,3.1520000000000437,1,,2,,,riese,2021.1.2,flink,up,,,images/riese.png,,,,,,,,,,,56,,37,,,,2,56,,,,choice_videos/1_011.mp4,,,730.1210000000001,,,,test,,0,,,av_experiment,,0,56,2021-04-12_14h35.00.200,,,,zwerg,up,,,,,57,fesselt,0,aron,,10,,,,Win32,,60.02400960382895,1080,,1,,,143,,träge,Firefox,,images/zwerg.png,,SESSION,,Der flinke Zwerg fesselt den trägen Riesen.,,av_experiment,faul,61,,,,A.J.
﻿1,,1920,,,,,,,37,,3,2021-04-12_14h35.00.200,,1.7549999999999955,1,,2,,,pinguin,2021.1.2,nass,left,,,images/pinguin.png,,,,,,,,,,,57,,37,,,,0,57,,,,choice_videos/3_069.mp4,,,738.319,,,,test,,0,,,av_experiment,,10,57,2021-04-12_14h35.00.200,,,,frosch,left,,,,,58,tritt,0,aron,,0,,,,Win32,,60.02400960382895,1080,,1,,,120,,arm,Firefox,,images/frosch.png,,SESSION,,Den nassen Frosch tritt der arme Pinguin.,,av_experiment,dreist,62,,,,A.J.
﻿1,,1920,,,,,,,37,,4,2021-04-12_14h35.00.200,,2.45900000000006,1,,2,,,pilot,2021.1.2,dünn,left,,,images/pilot.png,,,,,,,,,,,58,,37,,,,0,58,,,,choice_videos/4_073.mp4,,,745.116,,,,test,,0,,,av_experiment,,400,58,2021-04-12_14h35.00.200,,,,arzt,left,,,,,59,umarmt,0,aron,,0,,,,Win32,,60.02400960382895,1080,,1,,,126,,treu,Firefox,,images/arzt.png,,SESSION,,Den dünnen Arzt umarmt der treue Pilot.,,av_experiment,faul,63,,,,A.J.
﻿1,,1920,,,,,,,37,,0,2021-04-12_14h35.00.200,,2.9950000000000045,1,,2,,,cowboy,2021.1.2,schön,right,,,images/cowboy.png,,,,,,,,,,,59,,37,,,,1,59,,,,choice_videos/0_017.mp4,,,752.614,,,,test,,0,,,av_experiment,,0,59,2021-04-12_14h35.00.200,,,,radfahrer,right,,,,,60,jagt,0,aron,,0,,,,Win32,,60.02400960382895,1080,,1,,,27,,blass,Firefox,,images/radfahrer.png,,SESSION,,Der schöne Radfahrer jagt den blassen Cowboy.,,av_experiment,dick,64,,,,A.J.
﻿1,,1920,,,,,,,37,,4,2021-04-12_14h35.00.200,,3.2089999999999463,1,,2,,,pinguin,2021.1.2,nass,right,,,images/pinguin.png,,,,,,,,,,,60,,37,,,,1,60,,,,choice_videos/4_069.mp4,,,760.6610000000001,,,,test,,0,,,av_experiment,,400,60,2021-04-12_14h35.00.200,,,,frosch,right,,,,,61,tritt,0,aron,,0,,,,Win32,,60.02400960382895,1080,,1,,,121,,arm,Firefox,,images/frosch.png,,SESSION,,Den nassen Frosch tritt der arme Pinguin.,,av_experiment,nett,65,,,,A.J.
