choice_response.corr,s_adjust.thisIndex,xResolution,SJ_trials_skip.thisIndex,SJ_trials_after.thisN,cont_0.keys,cont_2.keys,s_adjust.thisN,cont_3.keys,participant,SJ_trials_after.thisIndex,cond,__datetime,SJ_trials_after.ran,choice_response.rt,trials.ran,response_distortion.corr,group,cont_5.rt,key_resp.rt,entity2,psychopyVersion,attribute1,choice_response.keys,cont_6.rt,SJ_trials_before.thisN,imagePath2,exit.rt,SJ_trials_before.thisIndex,key_resp.keys,SJ_trials_between.thisTrialN,SJ_trials_after.thisRepN,s_adjust.ran,training.thisIndex,s_adjust.thisRepN,cont_2.rt,SJ_trials_between.thisN,trials.thisN,SJ_trials_before.thisRepN,__participant,corrAns_synchronicity,training.thisRepN,SJ_trials_before.ran,target_loc,trials.thisTrialN,cont_4.rt,sentence_id,response_sync.rt,videoPath,cont_5.keys,SJ_trials_skip.thisTrialN,globalClockTime,cont_3.rt,response_distortion.keys,SJ_trials_between.thisIndex,id,cont_7.rt,block_counter_choice,SJ_trials_skip.thisN,cont_0.rt,expName,response_sync.keys,echo,trials.thisIndex,date,corrAns_distortion,show_attribute,cont_6.keys,entity1,corrAns_choice,SJ_trials_between.ran,SJ_trials_between.thisRepN,SJ_trials_skip.ran,cont_4.keys,trial_counter_choice,verb,trials.thisRepN,researcher,training.thisN,latency,SJ_trials_after.thisTrialN,training.thisTrialN,cont_7.keys,OS,cont_1.keys,frameRate,yResolution,cont_1.rt,imagePos,s_adjust.thisTrialN,response_sync.corr,item,block_counter_sj,attribute2,browser,trial_counter_sj,imagePath,SJ_trials_skip.thisRepN,__session,corrAns,sentence,response_distortion.rt,__experimentName,fill_attribute,trial_counter_training,exit.keys,training.ran,SJ_trials_before.thisTrialN,Name_optional
﻿0,,1829,,,,,,,20,,2,2021-04-09_12h35.51.618,,5.169855000000098,1,,1,,,elch,2021.1.2,schnell,left,,,images/elefant.png,,,,,,,,,,,155,,20,,,,1,155,,,,choice_videos/2_076.mp4,,,2062.7242849999993,,,,test,,0,,,av_experiment,,0,155,2021-04-09_12h35.51.618,,,,elefant,,,,,,156,verfolgt,0,aron,,400,,,,Win32,,60.547348026144505,1029,,,,,133,,lahm,Chrome,,images/elch.png,,SESSION,right,Den schnellen Elefanten verfolgt der lahme Elch.,,av_experiment,müde,160,,,,
﻿0,,1829,,,,,,,20,,4,2021-04-09_12h35.51.618,,5.8949200000006385,1,,1,,,soldat,2021.1.2,nett,left,,,images/papst.png,,,,,,,,,,,156,,20,,,,1,156,,,,choice_videos/4_059.mp4,,,2073.0193849999996,,,,test,,0,,,av_experiment,,400,156,2021-04-09_12h35.51.618,,,,papst,,,,,,157,küsst,0,aron,,0,,,,Win32,,60.547348026144505,1029,,,,,105,,gut,Chrome,,images/soldat.png,,SESSION,right,Den netten Papst küsst der gute Soldat.,,av_experiment,blind,161,,,,
﻿0,,1829,,,,,,,20,,3,2021-04-09_12h35.51.618,,3.6694399999996676,1,,1,,,soldat,2021.1.2,fies,left,,,images/pirat.png,,,,,,,,,,,157,,20,,,,1,157,,,,choice_videos/3_045.mp4,,,2084.0307349999994,,,,test,,0,,,av_experiment,,10,157,2021-04-09_12h35.51.618,,,,pirat,,,,,,158,erschießt,0,aron,,0,,,,Win32,,60.547348026144505,1029,,,,,79,,brav,Chrome,,images/soldat.png,,SESSION,right,Den fiesen Piraten erschießt der brave Soldat.,,av_experiment,nett,162,,,,
﻿0,,1829,,,,,,,20,,1,2021-04-09_12h35.51.618,,3.976965000000746,1,,1,,,gärtner,2021.1.2,nett,right,,,images/maler.png,,,,,,,,,,,158,,20,,,,0,158,,,,choice_videos/1_026.mp4,,,2092.801815,,,,test,,0,,,av_experiment,,0,158,2021-04-09_12h35.51.618,,,,maler,,,,,,159,massiert,0,aron,,10,,,,Win32,,60.547348026144505,1029,,,,,42,,still,Chrome,,images/gärtner.png,,SESSION,left,Der nette Maler massiert den stillen Gärtner.,,av_experiment,fies,163,,,,
﻿0,,1829,,,,,,,20,,2,2021-04-09_12h35.51.618,,4.359989999999925,1,,1,,,cowboy,2021.1.2,gut,up,,,images/soldat.png,,,,,,,,,,,159,,20,,,,1,159,,,,choice_videos/2_008.mp4,,,2101.902435,,,,test,,0,,,av_experiment,,0,159,2021-04-09_12h35.51.618,,,,soldat,,,,,,160,fängt,0,aron,,400,,,,Win32,,60.547348026144505,1029,,,,,13,,müde,Chrome,,images/cowboy.png,,SESSION,right,Der gute Soldat fängt den frechen Cowboy.,,av_experiment,dreist,164,,,,
﻿,,1829,,0,,,,,20,2,0,2021-04-09_12h35.51.618,1,,,1,1,,,,2021.1.2,,,,,,,,,,0,,,,,,,,20,,,,,,,,2.1718849999997474,sj_videos/0_084.mp4,,,2111.5390149999994,,right,,test,2.5408800000004703,,,,av_experiment,right,0,,2021-04-09_12h35.51.618,,,,,,,,,,,,,aron,,0,0,,return,Win32,,60.547348026144505,1029,,,,1,3,2,,Chrome,21,,,SESSION,,"Der Lehrer, der die Models bestiehlt, zittert.",1.173754999999801,av_experiment,,,,,,
﻿,,1829,,1,,,,,20,9,2,2021-04-09_12h35.51.618,1,,,1,1,,,,2021.1.2,,,,,,,,,,0,,,,,,,,20,,,,,,,,1.9832249999999476,sj_videos/2_091.mp4,,,2120.2298,,right,,test,,,,,av_experiment,right,0,,2021-04-09_12h35.51.618,,,,,,,,,,,,,aron,,400,1,,,Win32,,60.547348026144505,1029,,,,0,10,2,,Chrome,22,,,SESSION,,"Der Richter, der die Radfahrer erwürgt, weint.",0.4868799999994735,av_experiment,,,,,,
﻿,,1829,,2,,,,,20,7,0,2021-04-09_12h35.51.618,1,,,1,1,,,,2021.1.2,,,,,,,,,,0,,,,,,,,20,,,,,,,,11.623004999999466,sj_videos/0_089.mp4,,,2128.6704149999996,,right,,test,,,,,av_experiment,right,0,,2021-04-09_12h35.51.618,,,,,,,,,,,,,aron,,0,2,,,Win32,,60.547348026144505,1029,,,,1,8,2,,Chrome,23,,,SESSION,,"Der Bräutigam, der die Riesen ersticht, lacht.",0.6317899999994552,av_experiment,,,,,,
﻿,,1829,,3,,,,,20,8,1,2021-04-09_12h35.51.618,1,,,1,1,,,,2021.1.2,,,,,,,,,,0,,,,,,,,20,,,,,,,,0.9897500000006403,sj_videos/1_090.mp4,,,2146.0866449999994,,right,,test,,,,,av_experiment,left,0,,2021-04-09_12h35.51.618,,,,,,,,,,,,,aron,,10,3,,,Win32,,60.547348026144505,1029,,,,1,9,2,,Chrome,24,,,SESSION,,"Der Maler, der die Witwen ersticht, zittert.",3.9535750000004555,av_experiment,,,,,,
﻿,,1829,,4,,,,,20,1,4,2021-04-09_12h35.51.618,1,,,1,1,,,,2021.1.2,,,,,,,,,,0,,,,,,,,20,,,,,,,,3.469460000000254,sj_videos/4_083.mp4,,,2156.1253799999995,,left,,test,,,,,av_experiment,right,400,,2021-04-09_12h35.51.618,,,,,,,,,,,,,aron,,0,4,,,Win32,,60.547348026144505,1029,,,,1,2,2,,Chrome,25,,,SESSION,,"Der Maler, der die Vampire beschattet, gähnt.",0.5027900000004593,av_experiment,,,,,,
